
Tamanho do Problema: 1024000000

	Tempo: 5.24e+02 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 3072000000 	Numero de Bins: 368 	Intervalo: 0.54 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72

Tamanho do Problema: 4096000000

	Tempo: 6.95e+02 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 4096000000 	Numero de Bins: 393 	Intervalo: 0.51 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 6.95e+02 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 4096000000 	Numero de Bins: 993 	Intervalo: 0.20 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 7.05e+02 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 4096000000 	Numero de Bins: 554 	Intervalo: 0.36 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 6.95e+02 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 4096000000 	Numero de Bins: 275 	Intervalo: 0.73 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 6.96e+02 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 4096000000 	Numero de Bins: 834 	Intervalo: 0.24 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 7.00e+02 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 4096000000 	Numero de Bins: 786 	Intervalo: 0.25 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 6.93e+02 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 4096000000 	Numero de Bins: 800 	Intervalo: 0.25 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 6.95e+02 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 4096000000 	Numero de Bins: 376 	Intervalo: 0.53 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 6.95e+02 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 4096000000 	Numero de Bins: 629 	Intervalo: 0.32 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 6.94e+02 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 4096000000 	Numero de Bins: 41 	Intervalo: 4.88 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 6.95e+02 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 4096000000 	Numero de Bins: 732 	Intervalo: 0.27 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72

	Tempo: 7.58e-04 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 1000 	Numero de Bins: 148 	Intervalo: 1.35 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 9.90e-05 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 1000 	Numero de Bins: 894 	Intervalo: 0.22 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 1.99e-04 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 1000 	Numero de Bins: 100 	Intervalo: 2.00 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 1.03e-04 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 1000 	Numero de Bins: 100 	Intervalo: 2.00 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 7.93e-03 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 100000 	Numero de Bins: 881 	Intervalo: 0.23 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
