
Cores Qtd: 4	Tamanho do Problema: 1024000000

	Tempo: 1.18e+02 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 3072000000 	Numero de Bins: 204 	Intervalo: 0.98 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 1.18e+02 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 3072000000 	Numero de Bins: 566 	Intervalo: 0.35 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72

Cores Qtd: 4	Tamanho do Problema: 4096000000

	Tempo: 1.57e+02 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 4096000000 	Numero de Bins: 963 	Intervalo: 0.21 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 1.58e+02 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 4096000000 	Numero de Bins: 234 	Intervalo: 0.85 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 1.58e+02 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 4096000000 	Numero de Bins: 826 	Intervalo: 0.24 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 1.58e+02 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 4096000000 	Numero de Bins: 38 	Intervalo: 5.26 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 1.59e+02 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 4096000000 	Numero de Bins: 660 	Intervalo: 0.30 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 1.58e+02 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 4096000000 	Numero de Bins: 365 	Intervalo: 0.55 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 1.58e+02 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 4096000000 	Numero de Bins: 357 	Intervalo: 0.56 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 1.58e+02 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 4096000000 	Numero de Bins: 989 	Intervalo: 0.20 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 1.58e+02 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 4096000000 	Numero de Bins: 792 	Intervalo: 0.25 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 1.58e+02 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 4096000000 	Numero de Bins: 261 	Intervalo: 0.77 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72

Cores Qtd: 8	Tamanho do Problema: 1024000000

	Tempo: 1.97e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 1024000000 	Numero de Bins: 303 	Intervalo: 0.66 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 1.98e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 1024000000 	Numero de Bins: 503 	Intervalo: 0.40 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 1.97e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 1024000000 	Numero de Bins: 339 	Intervalo: 0.59 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 1.97e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 1024000000 	Numero de Bins: 428 	Intervalo: 0.47 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
